Sales Person,Country,Product,Date, Amount ,Boxes Shipped
Jehu Rudeforth,Canada,Milk Bars,2/21/2022,7203,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,5/20/2022,13083,14
Mallorie Waber,Australia,Milk Bars,7/29/2022,2779,104
Barr Faughny,USA,Fruit & Nut Bars,1/28/2022,9058,46
Marney O'Breen,UK,Caramel Stuffed Bars,7/19/2022,3549,112
Mallorie Waber,New Zealand,Manuka Honey Choco,4/13/2022,9436,11
Roddy Speechley,India,Peanut Butter Cubes,11/2/2022,10283,21
Roddy Speechley,New Zealand,Milk Bars,2/3/2022,5446,116
Ches Bonnell,Australia,White Choc,2/3/2022,1043,202
Van Tuxwell,USA,99% Dark & Pure,7/28/2022,12586,6
Kelci Walkden,India,After Nines,7/1/2022,1687,520
Brien Boise,UK,White Choc,12/4/2022,5299,167
Van Tuxwell,Canada,Almond Choco,6/27/2022,3213,72
Jehu Rudeforth,Australia,50% Dark Bites,1/14/2022,5194,418
Karlen McCaffrey,UK,Baker's Choco Chips,7/2/2022,4753,389
Jehu Rudeforth,Australia,Orange Choco,3/23/2022,13706,26
Marney O'Breen,India,Peanut Butter Cubes,10/1/2022,6489,146
Oby Sorrel,UK,Choco Coated Almonds,3/17/2022,9324,41
Gigi Bohling,USA,Spicy Special Slims,1/21/2022,10829,54
Barr Faughny,Australia,White Choc,4/7/2022,8113,370
Kaine Padly,Canada,Peanut Butter Cubes,4/7/2022,3269,176
Dotty Strutley,USA,Manuka Honey Choco,10/8/2022,273,210
Dennison Crosswaite,Australia,50% Dark Bites,1/4/2022,7287,12
Gigi Bohling,India,Raspberry Choco,2/22/2022,2583,159
Camilla Castle,UK,White Choc,3/1/2022,9982,187
Karlen McCaffrey,India,Drinking Coco,5/31/2022,4795,233
Dotty Strutley,UK,99% Dark & Pure,3/1/2022,9310,282
Husein Augar,New Zealand,Caramel Stuffed Bars,1/27/2022,497,475
Barr Faughny,UK,50% Dark Bites,1/28/2022,581,65
Curtice Advani,Australia,Organic Choco Syrup,6/28/2022,3472,311
Husein Augar,UK,Choco Coated Almonds,2/3/2022,4333,43
Wilone O'Kielt,Australia,After Nines,5/27/2022,3325,26
Dennison Crosswaite,USA,Almond Choco,6/30/2022,11718,84
Barr Faughny,Canada,Peanut Butter Cubes,7/6/2022,2100,78
Kaine Padly,USA,70% Dark Bites,12/5/2022,4018,100
Barr Faughny,New Zealand,Raspberry Choco,7/29/2022,6468,66
Dennison Crosswaite,UK,White Choc,3/8/2022,7238,265
Barr Faughny,India,Baker's Choco Chips,8/18/2022,6454,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,6/14/2022,3115,42
Beverie Moffet,UK,White Choc,6/30/2022,6475,76
Camilla Castle,New Zealand,Mint Chip Choco,6/13/2022,1162,190
Ches Bonnell,UK,Orange Choco,4/27/2022,14238,54
Jan Morforth,Australia,White Choc,7/27/2022,3472,32
Mallorie Waber,Canada,85% Dark Bars,4/20/2022,1428,424
Rafaelita Blaksland,India,Spicy Special Slims,4/1/2022,8064,134
Ches Bonnell,Australia,Mint Chip Choco,2/21/2022,9660,92
Karlen McCaffrey,Australia,White Choc,5/1/2022,7357,48
Beverie Moffet,India,Drinking Coco,7/15/2022,6055,46
Brien Boise,Australia,Choco Coated Almonds,5/25/2022,5124,62
Karlen McCaffrey,Canada,Eclairs,4/20/2022,3479,358
Gigi Bohling,USA,99% Dark & Pure,2/6/2022,784,249
Marney O'Breen,UK,Smooth Sliky Salty,5/13/2022,18991,88
Beverie Moffet,New Zealand,Baker's Choco Chips,3/8/2022,1372,144
Beverie Moffet,Australia,Milk Bars,5/25/2022,735,390
Van Tuxwell,UK,Raspberry Choco,3/16/2022,6538,79
Jan Morforth,Australia,Orange Choco,4/7/2022,3199,122
Jehu Rudeforth,India,50% Dark Bites,5/7/2022,3472,135
Madelene Upcott,USA,After Nines,3/15/2022,4571,430
Barr Faughny,UK,Raspberry Choco,8/22/2022,5481,69
Ches Bonnell,Australia,70% Dark Bites,12/1/2022,3136,125
Marney O'Breen,UK,Baker's Choco Chips,10/6/2022,252,154
Kaine Padly,Australia,Peanut Butter Cubes,3/25/2022,5460,286
Rafaelita Blaksland,India,Almond Choco,7/27/2022,3395,99
Husein Augar,UK,Caramel Stuffed Bars,4/15/2022,14938,433
Roddy Speechley,India,Orange Choco,6/27/2022,4053,19
Jehu Rudeforth,UK,70% Dark Bites,4/14/2022,5565,258
Husein Augar,Australia,Manuka Honey Choco,3/15/2022,7161,92
Madelene Upcott,USA,Eclairs,3/18/2022,8883,200
Brien Boise,India,Eclairs,4/29/2022,1351,61
Mallorie Waber,New Zealand,White Choc,2/25/2022,3171,246
Husein Augar,USA,Milk Bars,2/3/2022,854,56
Van Tuxwell,Australia,Milk Bars,6/20/2022,7910,87
Beverie Moffet,Canada,White Choc,7/15/2022,9275,173
Dotty Strutley,Australia,50% Dark Bites,12/5/2022,3108,252
Mallorie Waber,New Zealand,Organic Choco Syrup,1/7/2022,5075,256
Husein Augar,USA,85% Dark Bars,8/8/2022,378,54
Madelene Upcott,Australia,50% Dark Bites,7/25/2022,7350,6
Wilone O'Kielt,UK,Drinking Coco,5/18/2022,3388,55
Camilla Castle,India,Peanut Butter Cubes,7/15/2022,11837,277
Curtice Advani,India,70% Dark Bites,5/7/2022,2282,44
Mallorie Waber,USA,Manuka Honey Choco,4/7/2022,5425,96
Dotty Strutley,UK,70% Dark Bites,6/20/2022,1267,216
Gunar Cockshoot,Australia,Almond Choco,1/25/2022,3752,424
Kaine Padly,New Zealand,Spicy Special Slims,1/7/2022,7728,37
Gigi Bohling,USA,50% Dark Bites,4/13/2022,2296,59
Beverie Moffet,UK,Smooth Sliky Salty,4/5/2022,4403,76
Beverie Moffet,Australia,Baker's Choco Chips,4/8/2022,3192,109
Beverie Moffet,India,70% Dark Bites,1/6/2022,448,146
Jehu Rudeforth,UK,Choco Coated Almonds,4/22/2022,4270,185
Kaine Padly,USA,50% Dark Bites,3/8/2022,70,27
Ches Bonnell,USA,Orange Choco,10/6/2022,1743,69
Gunar Cockshoot,UK,Manuka Honey Choco,6/27/2022,6762,46
Marney O'Breen,Australia,Smooth Sliky Salty,3/1/2022,3745,170
Marney O'Breen,India,After Nines,11/7/2022,2639,179
Ches Bonnell,New Zealand,Milk Bars,8/17/2022,4389,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,1/18/2022,2604,65
Ches Bonnell,India,Organic Choco Syrup,8/3/2022,16569,99
Mallorie Waber,Australia,Orange Choco,7/3/2022,14658,275
Husein Augar,India,70% Dark Bites,9/5/2022,6454,157
Barr Faughny,New Zealand,85% Dark Bars,5/23/2022,2100,157
Madelene Upcott,UK,Caramel Stuffed Bars,4/15/2022,161,145
Gigi Bohling,Australia,Drinking Coco,7/27/2022,2807,139
Marney O'Breen,Canada,Choco Coated Almonds,8/22/2022,2639,406
Ches Bonnell,USA,70% Dark Bites,11/5/2022,4571,122
Madelene Upcott,India,Organic Choco Syrup,1/26/2022,4781,38
Barr Faughny,USA,50% Dark Bites,4/14/2022,13034,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,5/4/2022,6454,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,6/14/2022,8484,57
Brien Boise,Canada,Almond Choco,4/13/2022,4781,125
Beverie Moffet,Australia,White Choc,6/27/2022,2240,166
Dotty Strutley,Australia,Eclairs,1/26/2022,6979,3
Barr Faughny,UK,White Choc,5/7/2022,1652,72
Beverie Moffet,Canada,Baker's Choco Chips,11/1/2022,13447,95
Kelci Walkden,USA,White Choc,7/3/2022,9422,22
Kaine Padly,Canada,50% Dark Bites,4/3/2022,8687,100
Karlen McCaffrey,Canada,Organic Choco Syrup,7/15/2022,2415,312
Kaine Padly,UK,Peanut Butter Cubes,11/5/2022,6272,86
Karlen McCaffrey,USA,Milk Bars,1/27/2022,4389,7
Karlen McCaffrey,India,Orange Choco,6/27/2022,3122,149
Ches Bonnell,India,Smooth Sliky Salty,3/8/2022,8043,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,8/19/2022,11662,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,6/15/2022,392,102
Dennison Crosswaite,UK,Peanut Butter Cubes,7/2/2022,8925,158
Karlen McCaffrey,Australia,Almond Choco,8/7/2022,7294,128
Dennison Crosswaite,India,Milk Bars,4/21/2022,1526,96
Ches Bonnell,UK,Mint Chip Choco,8/4/2022,2688,209
Husein Augar,Australia,50% Dark Bites,8/19/2022,14889,52
Jan Morforth,India,Fruit & Nut Bars,4/5/2022,2912,55
Mallorie Waber,USA,85% Dark Bars,11/5/2022,2632,108
Mallorie Waber,USA,Eclairs,3/22/2022,6328,51
Dennison Crosswaite,Canada,Spicy Special Slims,10/8/2022,2527,216
Dennison Crosswaite,USA,Fruit & Nut Bars,4/5/2022,1414,318
Kelci Walkden,USA,99% Dark & Pure,8/18/2022,7714,238
Dotty Strutley,Canada,Raspberry Choco,3/8/2022,4347,238
Marney O'Breen,New Zealand,Milk Bars,1/14/2022,7490,315
Madelene Upcott,Australia,Choco Coated Almonds,8/4/2022,2058,72
Kelci Walkden,UK,Orange Choco,1/8/2022,3640,3
Dennison Crosswaite,Canada,Eclairs,3/15/2022,455,45
Karlen McCaffrey,India,Mint Chip Choco,7/15/2022,10990,184
Barr Faughny,New Zealand,Almond Choco,1/13/2022,5558,127
Mallorie Waber,Australia,85% Dark Bars,8/26/2022,2541,53
Ches Bonnell,Canada,Eclairs,10/1/2022,1876,172
Gigi Bohling,Australia,White Choc,11/5/2022,5523,87
Beverie Moffet,New Zealand,85% Dark Bars,8/30/2022,11200,22
Kaine Padly,USA,Caramel Stuffed Bars,7/21/2022,5593,122
Mallorie Waber,Australia,Almond Choco,1/8/2022,7882,125
Brien Boise,Canada,85% Dark Bars,2/17/2022,10241,259
Brien Boise,Australia,Drinking Coco,7/27/2022,6832,156
Dotty Strutley,USA,Orange Choco,2/23/2022,1379,107
Rafaelita Blaksland,Australia,50% Dark Bites,3/22/2022,3010,40
Dennison Crosswaite,India,99% Dark & Pure,6/23/2022,6888,311
Curtice Advani,UK,White Choc,1/2/2022,1540,73
Kelci Walkden,Australia,After Nines,2/3/2022,6916,288
Gigi Bohling,UK,Fruit & Nut Bars,6/4/2022,1232,86
Gunar Cockshoot,Australia,Raspberry Choco,3/17/2022,602,72
Curtice Advani,UK,Fruit & Nut Bars,6/24/2022,10927,136
Barr Faughny,Canada,50% Dark Bites,7/19/2022,10185,303
Curtice Advani,USA,Spicy Special Slims,11/7/2022,1603,264
Brien Boise,India,Almond Choco,1/13/2022,2170,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,7/7/2022,8673,60
Jan Morforth,India,85% Dark Bars,5/25/2022,4760,418
Marney O'Breen,India,Fruit & Nut Bars,4/13/2022,4753,151
Andria Kimpton,New Zealand,50% Dark Bites,2/3/2022,3374,202
Gunar Cockshoot,Canada,Raspberry Choco,6/23/2022,2058,126
Kelci Walkden,USA,Drinking Coco,7/26/2022,6454,160
Van Tuxwell,Canada,White Choc,3/22/2022,420,3
Rafaelita Blaksland,USA,Baker's Choco Chips,9/6/2022,2863,58
Van Tuxwell,Australia,Caramel Stuffed Bars,5/17/2022,5936,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,4/3/2022,889,273
Kelci Walkden,Canada,Milk Bars,7/7/2022,16016,28
Dennison Crosswaite,Canada,Choco Coated Almonds,1/13/2022,10479,118
Curtice Advani,Australia,Almond Choco,7/13/2022,2912,75
Madelene Upcott,Australia,85% Dark Bars,6/16/2022,1575,329
Gigi Bohling,UK,50% Dark Bites,7/18/2022,8197,69
Ches Bonnell,UK,Manuka Honey Choco,5/30/2022,4221,395
Gigi Bohling,UK,70% Dark Bites,6/21/2022,840,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,6/24/2022,5691,38
Marney O'Breen,India,Eclairs,1/13/2022,3472,96
Curtice Advani,Canada,Fruit & Nut Bars,4/4/2022,4193,195
Kaine Padly,UK,Smooth Sliky Salty,8/6/2022,9016,554
Karlen McCaffrey,Canada,Spicy Special Slims,2/8/2022,6328,47
Kelci Walkden,USA,Organic Choco Syrup,7/21/2022,9870,152
Curtice Advani,India,Spicy Special Slims,6/20/2022,161,134
Roddy Speechley,India,After Nines,6/22/2022,2576,112
Camilla Castle,Australia,Caramel Stuffed Bars,2/5/2022,3178,16
Curtice Advani,Australia,99% Dark & Pure,7/1/2022,4676,84
Mallorie Waber,UK,50% Dark Bites,2/21/2022,5502,99
Ches Bonnell,Canada,Baker's Choco Chips,3/21/2022,7462,371
Van Tuxwell,UK,Drinking Coco,4/4/2022,5803,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,3/24/2022,13888,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,6/28/2022,6867,183
Gunar Cockshoot,Australia,Drinking Coco,1/14/2022,2317,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,7/2/2022,1218,135
Dennison Crosswaite,New Zealand,Drinking Coco,11/1/2022,4109,197
Jehu Rudeforth,India,99% Dark & Pure,2/25/2022,1953,242
Dotty Strutley,Australia,Mint Chip Choco,1/8/2022,6790,25
Roddy Speechley,Australia,Mint Chip Choco,5/5/2022,6797,252
Madelene Upcott,New Zealand,Raspberry Choco,5/18/2022,9226,415
Dotty Strutley,New Zealand,Choco Coated Almonds,4/1/2022,5733,348
Roddy Speechley,New Zealand,50% Dark Bites,9/5/2022,4312,211
Rafaelita Blaksland,India,Smooth Sliky Salty,6/5/2022,1638,81
Husein Augar,UK,White Choc,1/13/2022,10815,145
Roddy Speechley,Australia,Almond Choco,6/24/2022,4466,74
Van Tuxwell,USA,Caramel Stuffed Bars,2/14/2022,987,21
Camilla Castle,Australia,99% Dark & Pure,1/18/2022,4669,101
Kaine Padly,India,Milk Bars,2/5/2022,2905,91
Ches Bonnell,Australia,Smooth Sliky Salty,5/16/2022,7490,54
Mallorie Waber,USA,Almond Choco,1/28/2022,6986,368
Kaine Padly,Canada,99% Dark & Pure,6/24/2022,1288,409
Oby Sorrel,UK,After Nines,7/18/2022,2345,104
Gunar Cockshoot,UK,Eclairs,4/13/2022,3619,164
Dotty Strutley,USA,Caramel Stuffed Bars,4/15/2022,16982,76
Jan Morforth,India,Peanut Butter Cubes,4/1/2022,8092,178
Husein Augar,Australia,Eclairs,4/7/2022,6993,31
Beverie Moffet,USA,Smooth Sliky Salty,3/24/2022,2317,352
Camilla Castle,Australia,Manuka Honey Choco,3/17/2022,637,169
Oby Sorrel,Australia,Almond Choco,2/15/2022,6034,223
Jan Morforth,USA,Orange Choco,6/29/2022,980,146
Gigi Bohling,USA,Fruit & Nut Bars,5/24/2022,2821,112
Mallorie Waber,UK,Milk Bars,10/1/2022,3563,284
Curtice Advani,USA,Raspberry Choco,3/15/2022,2996,139
Marney O'Breen,Canada,Milk Bars,8/2/2022,2436,309
Brien Boise,India,Caramel Stuffed Bars,2/25/2022,1540,100
Gunar Cockshoot,USA,Eclairs,3/5/2022,6916,42
Roddy Speechley,USA,Fruit & Nut Bars,6/14/2022,5509,24
Gunar Cockshoot,India,50% Dark Bites,9/8/2022,12992,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11/7/2022,3724,234
Kaine Padly,UK,Manuka Honey Choco,1/14/2022,7133,118
Van Tuxwell,Canada,Manuka Honey Choco,2/24/2022,8617,46
Wilone O'Kielt,New Zealand,Almond Choco,3/15/2022,9198,144
Oby Sorrel,New Zealand,Baker's Choco Chips,4/25/2022,11823,47
Dennison Crosswaite,Australia,Organic Choco Syrup,10/5/2022,5775,41
Marney O'Breen,Australia,Spicy Special Slims,6/23/2022,13125,275
Beverie Moffet,Canada,Smooth Sliky Salty,2/28/2022,14287,370
Brien Boise,USA,Organic Choco Syrup,5/25/2022,16233,138
Roddy Speechley,New Zealand,Baker's Choco Chips,2/22/2022,5313,215
Van Tuxwell,UK,85% Dark Bars,11/7/2022,3577,134
Marney O'Breen,Canada,Spicy Special Slims,3/1/2022,3528,336
Rafaelita Blaksland,New Zealand,70% Dark Bites,8/24/2022,679,280
Beverie Moffet,USA,50% Dark Bites,7/28/2022,2450,352
Brien Boise,USA,Mint Chip Choco,5/25/2022,10577,150
Karlen McCaffrey,New Zealand,Eclairs,6/5/2022,2597,177
Barr Faughny,India,Drinking Coco,1/28/2022,2219,142
Marney O'Breen,UK,Orange Choco,6/6/2022,11319,12
Brien Boise,New Zealand,Baker's Choco Chips,12/7/2022,5978,24
Ches Bonnell,Canada,Spicy Special Slims,5/8/2022,5327,183
Brien Boise,USA,Orange Choco,1/28/2022,6020,147
Kaine Padly,India,Spicy Special Slims,8/31/2022,5614,137
Mallorie Waber,USA,50% Dark Bites,4/19/2022,1736,13
Mallorie Waber,UK,Mint Chip Choco,6/29/2022,6384,2
Beverie Moffet,India,Choco Coated Almonds,2/24/2022,3577,261
